run_ts         , dataset        , scenario, model                        , temperature, aggregator          , extremizing_alpha, public_ratio, bm25 , num_agents, num_rounds, n  , brier_mean, brier_median, accuracy
20260410_050520, custom_80      , s0      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, True ,          3,          2,  80,    0.4543 , 0.41        ,   0.45
20260410_050520, custom_80      , s1      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, True ,          3,          2,  80,    0.24848, 0.01937     ,   0.6625
20260410_050520, custom_80      , s2      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, True ,          3,          2,  80,    0.23973, 0.00294     ,   0.7
20260410_052222, custom_48      , s0      , gpt-5.4-mini                 ,         0.7, adaptive_extremizing,                  ,          0.5, False,          3,          2,  48,    0.10512, 0.00365     ,   0.875
20260410_052222, custom_48      , s1      , gpt-5.4-mini                 ,         0.7, adaptive_extremizing,                  ,          0.5, False,          3,          2,  48,    0.08516, 0.0002      ,   0.9167
20260410_052222, custom_48      , s2      , gpt-5.4-mini                 ,         0.7, adaptive_extremizing,                  ,          0.5, False,          3,          2,  48,    0.0761 , 1e-05       ,   0.9167
20260410_052243, custom_48      , s0      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  48,    0.12285, 0.00365     ,   0.8542
20260410_052243, custom_48      , s1      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  48,    0.08543, 0.01138     ,   0.875
20260410_052243, custom_48      , s2      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  48,    0.07035, 0.00614     ,   0.9167
20260410_052239, custom_80      , s0      , gpt-5.4-mini                 ,         0.7, adaptive_extremizing,                  ,          0.5, False,          3,          2,  80,    0.43761, 0.3364      ,   0.45
20260410_052239, custom_80      , s1      , gpt-5.4-mini                 ,         0.7, adaptive_extremizing,                  ,          0.5, False,          3,          2,  80,    0.32941, 0.02394     ,   0.625
20260410_052239, custom_80      , s2      , gpt-5.4-mini                 ,         0.7, adaptive_extremizing,                  ,          0.5, False,          3,          2,  80,    0.30907, 0.0009      ,   0.65
20260410_055205, custom_80      , s0      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  80,    0.45783, 0.41        ,   0.4375
20260410_055205, custom_80      , s1      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  80,    0.27705, 0.13325     ,   0.625
20260410_055205, custom_80      , s2      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, False,          3,          2,  80,    0.28878, 0.11447     ,   0.5875
20260413_200459, custom_80      , s0      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.3,          0.5, False,          3,          2,  80,    0.4254 , 0.20485     ,   0.5
20260413_200459, custom_80      , s1      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.3,          0.5, False,          3,          2,  80,    0.30658, 0.07792     ,   0.6375
20260413_200459, custom_80      , s2      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.3,          0.5, False,          3,          2,  80,    0.28856, 0.00219     ,   0.675
20260413_202924, custom_80      , s0      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.5,          0.5, False,          3,          2,  80,    0.4507 , 0.386       ,   0.4625
20260413_202924, custom_80      , s1      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.5,          0.5, False,          3,          2,  80,    0.31212, 0.0219      ,   0.575
20260413_202924, custom_80      , s2      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.5,          0.5, False,          3,          2,  80,    0.30577, 0.00183     ,   0.6375
